Latitude (decimal degrees):;48.736;;;;;;;;
Longitude (decimal degrees):;19.154;;;;;;;;
Elevation (m):;342;;;;;;;;
Radiation database:;PVGIS-SARAH3;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Slope: 37 deg. (optimum);;;;;;;;;
Azimuth: -8 deg. (optimum);;;;;;;;;
time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int;;Total_irradiance
201:601:010:010;0;0;0;0;-8.46;0.41;0;;0
201:601:010:110;0;0;0;0;-8.55;0.28;0;;0
201:601:010:210;0;0;0;0;-8.76;0.34;0;;0
201:601:010:310;0;0;0;0;-9.49;0.69;0;;0
201:601:010:410;0;0;0;0;-9.63;0.76;0;;0
201:601:010:510;0;0;0;0;-9.47;0.76;0;;0
201:601:010:610;0;0;0;0;-9.2;0.83;0;;0
201:601:010:710;0;18.46;0.45;3.61;-8.49;0.97;0;;0.01891
201:601:010:810;67.69;88.01;1.98;10.25;-7.59;0.9;0;;0.15768
201:601:010:910;670.54;93.65;5.48;15.12;-6.68;0.9;0;;0.76967
201:601:011:010;128.72;168.16;4.07;17.8;-5.57;0.83;0;;0.30095
201:601:011:110;503.9;164.07;5.92;18.05;-4.39;0.83;0;;0.67389
201:601:011:210;77.54;135.62;3.25;15.84;-3.91;0.83;0;;0.21641
201:601:011:310;416.17;90.47;3.72;11.38;-3.71;0.97;0;;0.51036
201:601:011:410;0;27.69;0.67;5.06;-3.84;0.97;0;;0.02836
201:601:011:510;0;0;0;0;-4.4;0.76;0;;0
201:601:011:610;0;0;0;0;-5.12;0.69;0;;0
201:601:011:710;0;0;0;0;-5.03;0.55;0;;0
201:601:011:810;0;0;0;0;-4.86;0.41;0;;0
201:601:011:910;0;0;0;0;-5.25;0.21;0;;0
201:601:012:010;0;0;0;0;-5.69;0.34;0;;0
201:601:012:110;0;0;0;0;-6.44;0.69;0;;0
201:601:012:210;0;0;0;0;-7.55;0.83;0;;0
201:601:012:310;0;0;0;0;-7.93;0.83;0;;0
201:601:020:010;0;0;0;0;-8.35;0.83;0;;0
201:601:020:110;0;0;0;0;-8.7;0.83;0;;0
201:601:020:210;0;0;0;0;-8.72;0.76;0;;0
201:601:020:310;0;0;0;0;-8.99;0.76;0;;0
201:601:020:410;0;0;0;0;-8.87;0.76;0;;0
201:601:020:510;0;0;0;0;-8.55;0.9;0;;0
201:601:020:610;0;0;0;0;-8.19;1.03;0;;0
201:601:020:710;0;0;0;0;-8.02;1.03;0;;0
201:601:020:810;48.71;82.1;1.86;10.28;-7.41;1.38;0;;0.13267
201:601:020:910;0;0;0;0;-7.12;1.31;0;;0
201:601:021:010;0;90.62;2.06;17.88;-6.54;1.24;0;;0.09268
201:601:021:110;0;87.03;1.98;18.15;-6.1;1.31;0;;0.08901
201:601:021:210;21.29;107.76;2.51;15.95;-5.61;1.45;0;;0.13156
201:601:021:310;18.1;76.62;1.78;11.5;-5.72;1.59;0;;0.0965
201:601:021:410;0;26.85;0.65;5.19;-5.88;1.72;0;;0.0275
201:601:021:510;0;0;0;0;-6.59;1.72;0;;0
201:601:021:610;0;0;0;0;-7.14;1.93;0;;0
201:601:021:710;0;0;0;0;-7.71;2;0;;0
201:601:021:810;0;0;0;0;-8.32;1.93;0;;0
201:601:021:910;0;0;0;0;-9.01;1.52;0;;0
201:601:022:010;0;0;0;0;-9.16;1.52;0;;0
201:601:022:110;0;0;0;0;-9.52;1.45;0;;0
201:601:022:210;0;0;0;0;-9.69;1.45;0;;0
201:601:022:310;0;0;0;0;-9.97;1.38;0;;0
201:601:030:010;0;0;0;0;-9.88;1.38;0;;0
201:601:030:110;0;0;0;0;-9.81;1.31;0;;0
201:601:030:210;0;0;0;0;-9.61;1.31;0;;0
201:601:030:310;0;0;0;0;-9.68;1.38;0;;0
201:601:030:410;0;0;0;0;-9.86;1.38;0;;0
201:601:030:510;0;0;0;0;-9.91;1.31;0;;0
201:601:030:610;0;0;0;0;-9.98;1.24;0;;0
201:601:030:710;0;14.26;0.35;3.65;-11.05;1.24;0;;0.01461
201:601:030:810;249.99;118.13;2.8;10.33;-9.91;1.38;0;;0.37092
201:601:030:910;592.41;118.01;5.27;15.23;-8.42;1.45;0;;0.71569
201:601:031:010;474.22;175.89;5.78;17.96;-7.09;1.59;0;;0.65589
201:601:031:110;600.81;140.24;6.31;18.25;-6.06;1.45;0;;0.74736
201:601:031:210;590.74;105.82;5.66;16.06;-5.38;1.45;0;;0.70222
201:601:031:310;221.5;120.04;3.17;11.63;-5.25;1.38;0;;0.34471
201:601:031:410;0;20.98;0.51;5.32;-5.61;1.31;0;;0.02149
201:601:031:510;0;0;0;0;-6.45;1.03;0;;0
